キーワード,商品型番,商品名,定価,販売値段,タグ,順位,ブランド
ハンズフリー,xr-cf193,充電式扇風機 クリップ式 卓上扇風機 スタンド式,,"¥1,390",充電式,,
ハンズフリー,xr-cf130,腰掛け扇風機 ミスト機能 加湿機能 首かけ ネックファン,,"¥2,180",充電式,,
ハンズフリー,xr-nf205,腰掛け扇風機 充電式 加湿機能 首かけ 手持ち 卓上式,,"¥2,490",充電式,,
ハンズフリー,xr-hf184,扇風機 4800mAh 最大18時間動作 3段階風量調節,,"¥2,300",充電式,,
ハンズフリー,xr-hf115,パワフル送風 LEDライト 連続5時間使用可能 手持ち扇風機,,"¥1,580",充電式,,
ハンズフリー,xr-hf240,ハンディファン 5段階風量調整   USB充電,,"¥2,540",充電式,,
ハンズフリー,xr-hf163,ハンディファン 2000mAh usb 充電 卓上 手持ち,,"¥1,580",充電式,,
ハンズフリー,xr-hf148,ミニ扇風機 風量3段階調節 吊り下げ 超薄型 超軽量,,"¥1,590",充電式,,
ハンズフリー,xr-hf172,ハンディファン 手持ち 噴霧機能 風量3段階 急速冷却,,"¥1,290",充電式,,
ハンズフリー,xr-hf257,手持ち 小型 高さ23.5cm 静音 USB充電式 卓上置き,,"¥1,490",充電式,,
ハンズフリー,xr-ja2,ミニ扇風機 手持ち スタンド 充電式,,"¥1,890",充電式,,
ハンズフリー,hf310,ハンディーファン 充電式扇風機 クリップ式  風量3段,,"¥2,960",充電式,,
,,,,,,,
卓上置き,xr-tf253,1台4役 卓上扇風機 アウトドア ベビーカー 自動首振り,,"¥2,090",充電式,,
卓上置き,xr-js01,スタンド式 卓上式 吊り式 サーキュレーター 扇風機,,"¥5,980",充電式,,
卓上置き,xr-df197,1台2役 サーキュレーター サーキュライト,,"¥3,590",充電式,,
卓上置き,xr-df180,冷風機 冷風扇 ミニファン 卓上冷風扇 2色選べる 小型冷風機,,"¥2,750",充電式,,
卓上置き,xr-df243,卓上扇風機 ハンディファン 静音 usb充電 小型 軽量,,"¥3,790",充電式,,
卓上置き,xr-df268,卓上扇風機 アロマ対応 2段階風量調節 大容量バッテリー,,"¥3,990",充電式,,
卓上置き,xr-df246,クリップ式 充電式扇風機  卓上扇風機 dc モーター,,"¥2,980",充電式,,
卓上置き,xr-hf120,1台2役 ハンディーファン クリップ式 卓上扇風機 LEDライト付,,"¥1,290",充電式,,
卓上置き,xr-cf70,ミニファン 3段階風量 軽量 静音 約5.5時間稼働,,"¥1,490",充電式,,
卓上置き,xr-df217,ハンディファン 風量調整 usb充電 卓上扇風機,,"¥2,180",充電式,,
卓上置き,fa26,卓上扇風機 4段階風量調節 USB充電 手持ち,,"¥2,380",充電式,,
卓上置き,xr-df202,冷風機 冷風扇 自動首振り 静音 スポットクーラー,,"¥3,680",充電式,,
,,,,,,,
,,,,,,,
クリップファン,xr-hf120,1台2役 ハンディーファン クリップ式 卓上扇風機 LEDライト付,,"¥1,290",充電式,,
クリップファン,xr-cf193,充電式扇風機 クリップ式 卓上扇風機 スタンド式,,"¥1,390",充電式,,
クリップファン,xr-df209,充電式扇風機 クリップ式 卓上扇風機 スタンド式,,"¥2,190",充電式,,
クリップファン,xr-df240,充電式扇風機 クリップ式 スタンド式 USB充電式,,"¥2,190",充電式,,
クリップファン,xr-df246,クリップ式 充電式扇風機  卓上扇風機 dc モーター,,"¥2,980",充電式,,
クリップファン,xr-f8e,風量3段階 クリップ 吊り下げ スタンド,,"¥3,650",充電式,,
,,,,,,,
腰掛けファン,xr-cf110,1台4役 多機能扇風機 腰掛け扇風機 ファン 首かけ,,"¥1,390",充電式,,
腰掛けファン,xr-cf130,腰掛け扇風機 ミスト機能 加湿機能 首かけ ネックファン,,"¥2,180",充電式,,
腰掛けファン,xr-cf70,ミニファン 3段階風量 軽量 静音 約5.5時間稼働,,"¥1,490",充電式,,
,,,,,,,
加湿ファン,xr-df217,ハンディファン 風量調整 usb充電 卓上扇風機,,"¥2,180",加湿式,,
加湿ファン,xr-df180,冷風機 冷風扇 ミニファン 卓上冷風扇 2色選べる 小型冷風機,,"¥2,750",加湿式,,
加湿ファン,xr-r012,USB 小型 卓上冷風扇 加湿機能搭載,,"¥3,580",加湿式,,
加湿ファン,xr-df202,冷風機 冷風扇 自動首振り 静音 スポットクーラー,,"¥3,680",加湿式,,
,,,,,,,
,------電気フライヤー内联------,,,,,,
,,,,,,,
xd-cm-1,xd-cm4lf,,,"¥18,400",,,
xd-cm-1,xd-cm6lf,,,"¥23,000",,,
xd-cm-1,xd-cm8lf,,,"¥26,380",,,
xd-cm-2,xd-cm4lf-2,,,"¥31,980",,,
xd-cm-2,xd-cm6lf-2,,,"¥34,980",,,
,,,,,,,
サーキュレーターinner1,xr-lrk02,上下左右自動首振り イオンで除菌 DCモーター,6720,,送料無料,リモコン付き,DCモーター
サーキュレーターinner1,xr-ht04,360°首振り 卓上型 壁掛け型 3D送風 小型 空気循環,5180,,送料無料,リモコン付き,卓上＆壁掛け式
サーキュレーターinner1,xr-ht06,イオン除菌機能 高さ5段階調節 左右自動首振り,10280,,送料無料,リモコン付き,イオン除菌機能搭載
,,,,,,,
家電inner2,xr-jd12,タワーファン 羽根なし 左右70°自動首振りリモコン,4580,,送料無料,リモコン付き,3段階風量調節
家電inner2,xr-ifu02,UV除菌機能付き 冷風機 風量3段階切替,7600,,送料無料,冷風機,風量3段階切替
家電inner2,xr-ifu03,扇風機 サーキュレーター自動首振り,5680,,送料無料,左右70°自動首振り,アロマ機能搭載
家電inner2,xr-ht01,360°首振り パワフル送風 3D送風 静音 軽量設計,4080,,送料無料,卓上＆壁掛け両方対応,空気循環
家電inner2,xr-jsk232,除湿機 除湿器 1L大容量 コンパクト,5980,,送料無料,大容量1000ml,15畳対応
家電inner2,nsp-x2,AG+ 銀イオンプラズマ 空気清浄機 27畳対応,79800,,送料無料,日本公共機関検証済み！,花粉対策 ウイルス対策
家電inner2,xr-cm18,空気清浄機 適応21畳 除菌 小型 花粉症 対策,7480,,送料無料,99.9% UV除菌,21畳対応
家電inner2,xr-d046jr-uv,4IN1 UV除菌・空気洗浄・冷暖扇風機,15480,,送料無料,UVライト除菌,温風＆冷風
,,,,,,,
冷風扇inner1,xr-df202,冷風機 冷風扇 自動首振り 静音 スポットクーラー,3280,,送料無料,5000mAh,3段階風量調節
冷風扇inner1,xr-ifu02,UV除菌機能付き 冷風機 風量3段階切替,7600,,送料無料,自動首振り,3段階風量調節
冷風扇inner1,xr-f18jr,冷風機 3段階風量調節 スポットエアコン,7500,,送料無料,6Lタンク ,3段階風量調節
冷風扇inner1,xr-ifu01,冷風機 保冷剤2個付き 風量3段階切替,6300,,送料無料,リモコン付き,3段階風量調節
,,,,,,,
タワーファンinner2,xr-jd11,タワーファン スリム 羽根なし扇風機3段階風量調節 ,5080,,送料無料,,
タワーファンinner2,xr-jd12,タワーファン 羽根なし 左右70°自動首振りリモコン,4580,,送料無料,,
タワーファンinner2,xr-ht08,空気清浄機 扇風機 リモコン付き 羽なし 加湿機能搭載 3重空気清浄,22980,,送料無料,,
タワーファンinner2,xr-drtf11,縦型 8段階風量調節 DCモーター 羽なし,9200,,送料無料,,
,,,,,,,
タワーファンinner2,xr-ht08,空気清浄機 扇風機 リモコン付き 羽なし 加湿機能搭載 3重空気清浄,14680,,送料無料,,
タワーファンinner2,xr-d046jr,タワーファン 冷暖タイプ 8段階風量調節 羽なし,15480,,送料無料,,
タワーファンinner2,xr-d046jr-uv,4IN1 UV除菌・空気洗浄・冷暖扇風機,17280,,送料無料,,
タワーファンinner2,xr-fan02,冷暖タイプ DCモーター UV除菌機能,17280,,送料無料,,
,,,,,,,
タワーファンinner3,xr-ifu01,冷風機 保冷剤2個付き 風量3段階切替,6300,,送料無料,,
タワーファンinner3,xr-ifu02,UV除菌機能付き 冷風機 風量3段階切替,7600,,送料無料,,
タワーファンinner3,xr-f18jr,冷風機 3段階風量調節 スポットエアコン,7500,,送料無料,,
タワーファンinner3,xr-fan02,冷暖タイプ DCモーター UV除菌機能,17280,,送料無料,,
,,,,,,,
リビング扇風機inner1,xr-jd01,高さ調節可能 左右90°自動首振り 自動OFF,3280,,送料無料,高さ調節可能,3段階風量調節
リビング扇風機inner1,xr-jd02,サーキュレーター 扇風機 左右90°自動首振り,4480,,送料無料,高さ調節可能,3段階風量調節
リビング扇風機inner1,xr-jd03,リビング扇風機 自動首振り 静音モード搭載,2780,,送料無料,高さ調節可能,3段階風量調節
リビング扇風機inner1,xr-jd08,720°首振り DCモーター 12段階風量調節 5枚羽根,8880,,送料無料,DCモーター,12段階風量調節
,,,,,,,
リビング扇風機inner2,xr-jd04,リビング扇風機 5枚羽根 高さ調節可能 3段階風量,3580,,送料無料,リモコン付き,3段階風量調節
リビング扇風機inner2,xr-jd05,扇風機 5枚羽根 4段階風量 2段階モード ,3680,,送料無料,リモコン付き,4段階風量調節
リビング扇風機inner2,xr-jd06,3段階風量調節 5枚羽根 静音 入切タイマー付き,3680,,送料無料,リモコン付き,3段階風量調節
リビング扇風機inner2,xr-jd07,扇風機 サーキュレーター リビング扇風機 高さ調節可能,3480,,送料無料,リモコン付き,3段階風量調節
